A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,LIST_NO,DEPTID_M,EMPLID,RATION,PROD_TYPE
OBZ021,23874,2026-06-30 15:09:53.557,OBZ021,23874,2026-06-30 15:09:53.557,OB202607013,XVE4,20501,100.0,01
OBZ021,23874,2026-06-30 15:09:53.557,OBZ021,23874,2026-06-30 15:09:53.557,OB202607013,XVE3,20190,100.0,01
OBZ021,23874,2026-06-30 15:09:53.557,OBZ021,23874,2026-06-30 15:09:53.557,OB202607013,XVE2,20442,100.0,01
OBZ021,23874,2026-06-30 15:09:53.557,OBZ021,23874,2026-06-30 15:09:53.557,OB202607013,XVE1,22978,100.0,01
OBZ021,23874,2026-06-30 15:09:36.657,OBZ021,23874,2026-06-30 15:09:36.657,OB202607012,XVE4,20501,100.0,01
OBZ021,23874,2026-06-30 15:09:36.657,OBZ021,23874,2026-06-30 15:09:36.657,OB202607012,XVE3,20190,100.0,01
OBZ021,23874,2026-06-30 15:09:36.657,OBZ021,23874,2026-06-30 15:09:36.657,OB202607012,XVE2,20442,100.0,01
OBZ021,23874,2026-06-30 15:09:36.657,OBZ021,23874,2026-06-30 15:09:36.657,OB202607012,XVE1,22978,100.0,01
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,23986,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,23985,38.1,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22350,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22304,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22291,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22290,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22287,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22286,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22282,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22162,38.1,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,22159,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,21557,23.8,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE4,20501,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,23841,25.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,23747,25.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,23701,25.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,23165,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,22622,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,22593,25.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,22499,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,21953,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,21838,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,21730,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,20765,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE3,20190,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23961,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23906,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23835,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23821,44.4,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23757,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23724,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23689,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,23263,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22737,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22736,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22592,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22559,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22520,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22512,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22411,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22278,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22274,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22273,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,22163,27.8,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,21957,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,21731,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,21581,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,21523,27.8,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,21466,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,20885,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE2,20442,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,23988,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,23905,12.2,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,23301,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,23254,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,23166,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,23066,19.5,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22978,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22802,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22603,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22511,12.2,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22315,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22254,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22157,12.2,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22049,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,22039,0.0,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,21831,12.2,03
OBZ021,23770,2026-06-30 11:55:02.060,OBZ021,23770,2026-06-30 11:55:02.060,OB202607010,XVE1,21648,0.0,03
