A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,CARD_TYPE,CARD_VERSION,COLUNM,COLUNM_NAME
NULL,NULL,NULL,NULL,NULL,NULL,H,1,CAREA_NO1,有無戶藉電話
NULL,NULL,NULL,NULL,NULL,NULL,H,1,CAREA_NO2,有無通訊電話
NULL,NULL,NULL,NULL,NULL,NULL,H,1,CAR_YEAR,車齡
NULL,NULL,NULL,NULL,NULL,NULL,H,1,LIST_MONTH,中結/滿期/撥款與分案月數差
NULL,NULL,NULL,NULL,NULL,NULL,H,1,PROJECT_TP,專案類別
NULL,NULL,NULL,NULL,NULL,NULL,H,1,SALES_STS,業務註記
IT,21251,2019-08-23 00:00:00.000,IT,21251,2019-08-23 00:00:00.000,H,1,ADD_UN_CAPITAL,累積未償本金
IT,21251,2019-08-23 00:00:00.000,IT,21251,2019-08-23 00:00:00.000,H,1,CUS_SEX,客戶性別
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,CAREA_NO1,有無戶藉電話
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,CAREA_NO2,有無通訊電話
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,CAR_YEAR,車齡
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,LIST_MONTH,中結/滿期/撥款與分案月數差
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,PROJECT_TP,專案類別
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,AGE,年齡
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,EDUCAT_BACK,學歷
電銷中結卡,IT,2019-09-04 09:39:56.133,電銷中結卡,IT,2019-09-04 09:39:56.133,S,1,CUS_SEX,客戶性別
滿期卡,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,AGE,年齡
