A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,CARD_TYPE,CARD_VERSION,SCORE_S,SCORE_E,CARD_LEVEL
NULL,NULL,NULL,NULL,NULL,NULL,S,1,191,999,A
NULL,NULL,NULL,NULL,NULL,NULL,S,1,169,190,B
NULL,NULL,NULL,NULL,NULL,NULL,S,1,153,168,C
NULL,NULL,NULL,NULL,NULL,NULL,S,1,0,152,D
NULL,NULL,NULL,NULL,NULL,NULL,H,1,243,999,A
NULL,NULL,NULL,NULL,NULL,NULL,H,1,214,242,B
NULL,NULL,NULL,NULL,NULL,NULL,H,1,185,213,C
NULL,NULL,NULL,NULL,NULL,NULL,H,1,0,184,D
NULL,NULL,NULL,NULL,NULL,NULL,E,1,176,999,A
NULL,NULL,NULL,NULL,NULL,NULL,E,1,149,175,B
NULL,NULL,NULL,NULL,NULL,NULL,E,1,141,148,C
NULL,NULL,NULL,NULL,NULL,NULL,E,1,0,140,D
NULL,NULL,NULL,NULL,NULL,NULL,E5,1,154,999,A
NULL,NULL,NULL,NULL,NULL,NULL,E5,1,127,153,B
NULL,NULL,NULL,NULL,NULL,NULL,E5,1,104,126,C
NULL,NULL,NULL,NULL,NULL,NULL,E5,1,0,103,D
NULL,NULL,NULL,NULL,NULL,NULL,S5,1,152,999,A
NULL,NULL,NULL,NULL,NULL,NULL,S5,1,0,151,B
NULL,NULL,NULL,NULL,NULL,NULL,M,1,170,999,A
NULL,NULL,NULL,NULL,NULL,NULL,M,1,150,169,B
NULL,NULL,NULL,NULL,NULL,NULL,M,1,143,149,C
NULL,NULL,NULL,NULL,NULL,NULL,M,1,0,142,D
