A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,CARD_TYPE,CARD_VERSION,COLUNM,LEVEL1,LEVEL2_S,LEVEL2_E,SCORE
期中卡,IT,2019-08-23 00:00:00.000,期中卡,IT,2019-08-23 00:00:00.000,H,1,CUS_SEX,NULL,1,1,30
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CUS_SEX,NULL,2,2,26
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CUS_SEX,NULL,3,3,26
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,ADD_UN_CAPITAL,NULL,383258,99999999,36
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,ADD_UN_CAPITAL,NULL,232952,383257,31
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,ADD_UN_CAPITAL,NULL,126480,232951,26
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,ADD_UN_CAPITAL,NULL,49698,126479,19
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,ADD_UN_CAPITAL,NULL,-99999999,49697,12
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAREA_NO1,NULL,0,0,28
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAREA_NO1,NULL,1,1,29
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAREA_NO2,NULL,1,1,52
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAREA_NO2,NULL,0,0,14
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAR_YEAR,NULL,10,99,35
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAR_YEAR,NULL,5,9,34
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAR_YEAR,NULL,4,4,28
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAR_YEAR,NULL,3,3,24
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,CAR_YEAR,NULL,0,2,17
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,LIST_MONTH,NULL,33,999,22
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,LIST_MONTH,NULL,25,32,25
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,LIST_MONTH,NULL,21,24,31
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,LIST_MONTH,NULL,17,20,33
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,LIST_MONTH,NULL,0,16,36
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,NULL,20,20,37
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,NULL,21,21,37
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,NULL,22,22,37
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,"A         ",22,22,37
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,"A         ",23,23,37
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,"A         ",06,06,37
期中卡,IT,2019-11-27 08:52:30.537,期中卡,IT,2019-11-27 08:52:36.257,H,1,PROJECT_TP,NULL,16,16,35
