A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,PROJECT_WORKYM,LIST_NO,OBDEPTID,OBDEPTNM,RATION
OBZ020,23770,2026-05-28 10:39:30.047,OBZ020,23770,2026-05-28 10:39:30.047,202606,OB202606001,XVE1,北區電銷1,32.3
OBZ020,23770,2026-05-28 10:39:30.047,OBZ020,23770,2026-05-28 10:39:30.047,202606,OB202606001,XVE2,南區電銷,34.3
OBZ020,23770,2026-05-28 10:39:30.047,OBZ020,23770,2026-05-28 10:39:30.047,202606,OB202606001,XVE3,北區電銷2,15.4
OBZ020,23770,2026-05-28 10:39:30.047,OBZ020,23770,2026-05-28 10:39:30.047,202606,OB202606001,XVE4,中區電銷1,18.0
OBZ020,23770,2026-05-28 10:40:25.000,OBZ020,23770,2026-05-28 10:40:25.000,202606,OB202606008,XVE1,北區電銷1,32.3
OBZ020,23770,2026-05-28 10:40:25.000,OBZ020,23770,2026-05-28 10:40:25.000,202606,OB202606008,XVE2,南區電銷,18.0
OBZ020,23770,2026-05-28 10:40:25.000,OBZ020,23770,2026-05-28 10:40:25.000,202606,OB202606008,XVE3,北區電銷2,15.4
OBZ020,23770,2026-05-28 10:40:25.000,OBZ020,23770,2026-05-28 10:40:25.000,202606,OB202606008,XVE4,中區電銷1,34.3
OBZ020,23770,2026-05-28 10:41:04.757,OBZ020,23770,2026-05-28 10:41:04.757,202606,OB202606010,XVE1,北區電銷1,26.0
OBZ020,23770,2026-05-28 10:41:04.757,OBZ020,23770,2026-05-28 10:41:04.757,202606,OB202606010,XVE2,南區電銷,36.0
OBZ020,23770,2026-05-28 10:41:04.757,OBZ020,23770,2026-05-28 10:41:04.757,202606,OB202606010,XVE3,北區電銷2,8.0
OBZ020,23770,2026-05-28 10:41:04.757,OBZ020,23770,2026-05-28 10:41:04.757,202606,OB202606010,XVE4,中區電銷1,30.0
OBZ020,23874,2026-05-29 19:14:56.713,OBZ020,23874,2026-05-29 19:14:56.713,202606,OB202606011,XVE1,北區電銷1,26.0
OBZ020,23874,2026-05-29 19:14:56.713,OBZ020,23874,2026-05-29 19:14:56.713,202606,OB202606011,XVE2,南區電銷,36.0
OBZ020,23874,2026-05-29 19:14:56.713,OBZ020,23874,2026-05-29 19:14:56.713,202606,OB202606011,XVE3,北區電銷2,8.0
OBZ020,23874,2026-05-29 19:14:56.713,OBZ020,23874,2026-05-29 19:14:56.713,202606,OB202606011,XVE4,中區電銷1,30.0
OBZ020,23874,2026-05-29 18:55:20.823,OBZ020,23874,2026-05-29 18:55:20.823,202606,OB202606012,XVE1,北區電銷1,30.0
OBZ020,23874,2026-05-29 18:55:20.823,OBZ020,23874,2026-05-29 18:55:20.823,202606,OB202606012,XVE2,南區電銷,30.0
OBZ020,23874,2026-05-29 18:55:20.823,OBZ020,23874,2026-05-29 18:55:20.823,202606,OB202606012,XVE3,北區電銷2,20.0
OBZ020,23874,2026-05-29 18:55:20.823,OBZ020,23874,2026-05-29 18:55:20.823,202606,OB202606012,XVE4,中區電銷1,20.0
OBZ020,23874,2026-05-29 18:55:53.373,OBZ020,23874,2026-05-29 18:55:53.373,202606,OB202606013,XVE1,北區電銷1,30.0
OBZ020,23874,2026-05-29 18:55:53.373,OBZ020,23874,2026-05-29 18:55:53.373,202606,OB202606013,XVE2,南區電銷,30.0
OBZ020,23874,2026-05-29 18:55:53.373,OBZ020,23874,2026-05-29 18:55:53.373,202606,OB202606013,XVE3,北區電銷2,20.0
OBZ020,23874,2026-05-29 18:55:53.373,OBZ020,23874,2026-05-29 18:55:53.373,202606,OB202606013,XVE4,中區電銷1,20.0
